Team	Category	Grade	Grade_Numeric	Overall_Rank
Arizona Cardinals	Treatment of Families	D+	1.3	31
Arizona Cardinals	Home Game Field	B	3	31
Arizona Cardinals	Food/Dining Area	C-	1.7	31
Arizona Cardinals	Nutritionist/Dietician	B	3	31
Arizona Cardinals	Locker Room	F-	0	31
Arizona Cardinals	Training Room	D+	1.3	31
Arizona Cardinals	Training Staff	B-	2.7	31
Arizona Cardinals	Weight Room	D+	1.3	31
Arizona Cardinals	Strength Coaches	B-	2.7	31
Arizona Cardinals	Position Coaches	B+	3.3	31
Arizona Cardinals	Offensive Coordinator	B-	2.7	31
Arizona Cardinals	Defensive Coordinator	C+	2.3	31
Arizona Cardinals	Special Teams Coordinator	B	3	31
Arizona Cardinals	Team Travel	C+	2.3	31
Arizona Cardinals	Head Coach	B+	3.3	31
Arizona Cardinals	General Manager	B	3	31
Arizona Cardinals	Team Ownership	F	0	31
Atlanta Falcons	Treatment of Families	B+	3.3	8
Atlanta Falcons	Home Game Field	C-	1.7	8
Atlanta Falcons	Food/Dining Area	A-	3.7	8
Atlanta Falcons	Nutritionist/Dietician	A	4	8
Atlanta Falcons	Locker Room	B	3	8
Atlanta Falcons	Training Room	A-	3.7	8
Atlanta Falcons	Training Staff	A	4	8
Atlanta Falcons	Weight Room	A	4	8
Atlanta Falcons	Strength Coaches	A	4	8
Atlanta Falcons	Position Coaches	B+	3.3	8
Atlanta Falcons	Offensive Coordinator	C-	1.7	8
Atlanta Falcons	Defensive Coordinator	A	4	8
Atlanta Falcons	Special Teams Coordinator	B+	3.3	8
Atlanta Falcons	Team Travel	B+	3.3	8
Atlanta Falcons	Head Coach	B+	3.3	8
Atlanta Falcons	General Manager	B+	3.3	8
Atlanta Falcons	Team Ownership	A	4	8
Baltimore Ravens	Treatment of Families	B+	3.3	12
Baltimore Ravens	Home Game Field	A	4	12
Baltimore Ravens	Food/Dining Area	B	3	12
Baltimore Ravens	Nutritionist/Dietician	A-	3.7	12
Baltimore Ravens	Locker Room	B-	2.7	12
Baltimore Ravens	Training Room	A	4	12
Baltimore Ravens	Training Staff	B	3	12
Baltimore Ravens	Weight Room	A	4	12
Baltimore Ravens	Strength Coaches	A	4	12
Baltimore Ravens	Position Coaches	B	3	12
Baltimore Ravens	Offensive Coordinator	B-	2.7	12
Baltimore Ravens	Defensive Coordinator	B+	3.3	12
Baltimore Ravens	Special Teams Coordinator	B+	3.3	12
Baltimore Ravens	Team Travel	B-	2.7	12
Baltimore Ravens	Head Coach	B	3	12
Baltimore Ravens	General Manager	A-	3.7	12
Baltimore Ravens	Team Ownership	A+	4.3	12
Buffalo Bills	Treatment of Families	B	3	16
Buffalo Bills	Home Game Field	F	0	16
Buffalo Bills	Food/Dining Area	B-	2.7	16
Buffalo Bills	Nutritionist/Dietician	B-	2.7	16
Buffalo Bills	Locker Room	B	3	16
Buffalo Bills	Training Room	B+	3.3	16
Buffalo Bills	Training Staff	B+	3.3	16
Buffalo Bills	Weight Room	A	4	16
Buffalo Bills	Strength Coaches	A	4	16
Buffalo Bills	Position Coaches	A	4	16
Buffalo Bills	Offensive Coordinator	A-	3.7	16
Buffalo Bills	Defensive Coordinator	B	3	16
Buffalo Bills	Special Teams Coordinator	B+	3.3	16
Buffalo Bills	Team Travel	B-	2.7	16
Buffalo Bills	Head Coach	A-	3.7	16
Buffalo Bills	General Manager	A-	3.7	16
Buffalo Bills	Team Ownership	A-	3.7	16
Carolina Panthers	Treatment of Families	B	3	23
Carolina Panthers	Home Game Field	F	0	23
Carolina Panthers	Food/Dining Area	B+	3.3	23
Carolina Panthers	Nutritionist/Dietician	A-	3.7	23
Carolina Panthers	Locker Room	D+	1.3	23
Carolina Panthers	Training Room	B	3	23
Carolina Panthers	Training Staff	A-	3.7	23
Carolina Panthers	Weight Room	B	3	23
Carolina Panthers	Strength Coaches	A-	3.7	23
Carolina Panthers	Position Coaches	A-	3.7	23
Carolina Panthers	Offensive Coordinator	A-	3.7	23
Carolina Panthers	Defensive Coordinator	B	3	23
Carolina Panthers	Special Teams Coordinator	A-	3.7	23
Carolina Panthers	Team Travel	D	1	23
Carolina Panthers	Head Coach	A-	3.7	23
Carolina Panthers	General Manager	A	4	23
Carolina Panthers	Team Ownership	B-	2.7	23
Chicago Bears	Treatment of Families	C+	2.3	13
Chicago Bears	Home Game Field	C	2	13
Chicago Bears	Food/Dining Area	B	3	13
Chicago Bears	Nutritionist/Dietician	A	4	13
Chicago Bears	Locker Room	B+	3.3	13
Chicago Bears	Training Room	B	3	13
Chicago Bears	Training Staff	B	3	13
Chicago Bears	Weight Room	A	4	13
Chicago Bears	Strength Coaches	A-	3.7	13
Chicago Bears	Position Coaches	B-	2.7	13
Chicago Bears	Offensive Coordinator	A-	3.7	13
Chicago Bears	Defensive Coordinator	C+	2.3	13
Chicago Bears	Special Teams Coordinator	B-	2.7	13
Chicago Bears	Team Travel	B+	3.3	13
Chicago Bears	Head Coach	A	4	13
Chicago Bears	General Manager	A-	3.7	13
Chicago Bears	Team Ownership	A-	3.7	13
Cincinnati Bengals	Treatment of Families	F-	0	28
Cincinnati Bengals	Home Game Field	D-	0.7	28
Cincinnati Bengals	Food/Dining Area	F-	0	28
Cincinnati Bengals	Nutritionist/Dietician	F	0	28
Cincinnati Bengals	Locker Room	A-	3.7	28
Cincinnati Bengals	Training Room	A-	3.7	28
Cincinnati Bengals	Training Staff	A-	3.7	28
Cincinnati Bengals	Weight Room	A-	3.7	28
Cincinnati Bengals	Strength Coaches	A	4	28
Cincinnati Bengals	Position Coaches	B-	2.7	28
Cincinnati Bengals	Offensive Coordinator	A-	3.7	28
Cincinnati Bengals	Defensive Coordinator	B+	3.3	28
Cincinnati Bengals	Special Teams Coordinator	B+	3.3	28
Cincinnati Bengals	Team Travel	C-	1.7	28
Cincinnati Bengals	Head Coach	A-	3.7	28
Cincinnati Bengals	General Manager	C	2	28
